2025-08-18 12:03:31,416 - INFO - resource_monitor - cpu=0.0% load1=2.80 | mem_used=3519.8MB mem_avail=29436.2MB mem_pct=12.0% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1240.3MB proc_vms=68750.9MB | proc_cpu=0.0%
2025-08-18 12:03:33,420 - INFO - resource_monitor - cpu=1.0% load1=2.65 | mem_used=3524.2MB mem_avail=29431.8MB mem_pct=12.0% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1241.1MB proc_vms=68750.9MB | proc_cpu=1.0%
2025-08-18 12:03:35,425 - INFO - resource_monitor - cpu=2.4% load1=2.65 | mem_used=3602.7MB mem_avail=29353.0MB mem_pct=12.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1318.4MB proc_vms=69966.7MB | proc_cpu=44.4%
2025-08-18 12:03:37,429 - INFO - resource_monitor - cpu=1.4% load1=2.52 | mem_used=3590.8MB mem_avail=29364.9MB mem_pct=12.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1319.0MB proc_vms=69966.7MB | proc_cpu=1.0%
2025-08-18 12:03:39,434 - INFO - resource_monitor - cpu=2.1% load1=2.52 | mem_used=3593.3MB mem_avail=29362.4MB mem_pct=12.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1322.4MB proc_vms=69970.4MB | proc_cpu=1.0%
2025-08-18 12:03:41,437 - INFO - resource_monitor - cpu=0.9% load1=2.52 | mem_used=3633.5MB mem_avail=29322.2MB mem_pct=12.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1356.0MB proc_vms=70002.7MB | proc_cpu=4.0%
2025-08-18 12:03:43,441 - INFO - resource_monitor - cpu=2.5% load1=2.48 | mem_used=3679.3MB mem_avail=29275.7MB mem_pct=12.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=1439.4MB proc_vms=71210.7MB | proc_cpu=58.9%
2025-08-18 12:03:45,447 - INFO - resource_monitor - cpu=21.7% load1=2.48 | mem_used=4077.2MB mem_avail=28876.5MB mem_pct=13.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.1MB | proc_rss=2668.3MB proc_vms=71527.1MB | proc_cpu=625.0%
2025-08-18 12:03:47,453 - INFO - resource_monitor - cpu=10.7% load1=2.44 | mem_used=3802.3MB mem_avail=29152.8MB mem_pct=12.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.4MB | proc_rss=1530.9MB proc_vms=70472.9MB | proc_cpu=283.7%
2025-08-18 12:03:49,465 - INFO - resource_monitor - cpu=48.1% load1=2.44 | mem_used=5509.1MB mem_avail=27446.1MB mem_pct=17.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.4MB | proc_rss=3235.5MB proc_vms=72226.6MB | proc_cpu=1459.2%
2025-08-18 12:03:51,470 - INFO - resource_monitor - cpu=48.4% load1=2.44 | mem_used=5508.9MB mem_avail=27446.3MB mem_pct=17.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.4MB | proc_rss=3236.0MB proc_vms=72247.6MB | proc_cpu=1489.3%
2025-08-18 12:03:53,475 - INFO - resource_monitor - cpu=22.8% load1=3.77 | mem_used=6034.7MB mem_avail=26920.9MB mem_pct=19.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.3MB net_recv=59.4MB | proc_rss=3814.1MB proc_vms=73352.2MB | proc_cpu=689.5%
2025-08-18 12:03:55,479 - INFO - resource_monitor - cpu=18.8% load1=3.77 | mem_used=11821.9MB mem_avail=21130.0MB mem_pct=36.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.6MB net_recv=59.6MB | proc_rss=9658.2MB proc_vms=81755.3MB | proc_cpu=561.4%
2025-08-18 12:03:57,483 - INFO - resource_monitor - cpu=51.9% load1=4.83 | mem_used=21102.1MB mem_avail=11849.8MB mem_pct=64.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.6MB net_recv=59.6MB | proc_rss=18908.5MB proc_vms=90782.2MB | proc_cpu=1567.2%
2025-08-18 12:03:59,488 - INFO - resource_monitor - cpu=48.5% load1=4.83 | mem_used=21118.5MB mem_avail=11832.5MB mem_pct=64.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.6MB net_recv=59.6MB | proc_rss=18909.0MB proc_vms=90800.5MB | proc_cpu=1472.0%
2025-08-18 12:04:01,492 - INFO - resource_monitor - cpu=26.1% load1=4.83 | mem_used=21536.4MB mem_avail=11414.6MB mem_pct=65.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.6MB net_recv=59.7MB | proc_rss=19342.7MB proc_vms=91247.3MB | proc_cpu=777.7%
2025-08-18 12:04:03,496 - INFO - resource_monitor - cpu=47.1% load1=4.60 | mem_used=21604.6MB mem_avail=11346.8MB mem_pct=66.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.9MB net_recv=59.9MB | proc_rss=19400.7MB proc_vms=91331.3MB | proc_cpu=1439.2%
2025-08-18 12:04:05,499 - INFO - resource_monitor - cpu=43.8% load1=4.60 | mem_used=21658.6MB mem_avail=11292.3MB mem_pct=66.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=52.9MB net_recv=59.9MB | proc_rss=19454.5MB proc_vms=91410.4MB | proc_cpu=1335.9%
2025-08-18 12:04:07,503 - INFO - resource_monitor - cpu=24.4% load1=4.55 | mem_used=21645.5MB mem_avail=11305.3MB mem_pct=66.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.0MB net_recv=60.0MB | proc_rss=19456.3MB proc_vms=91439.2MB | proc_cpu=692.1%
2025-08-18 12:04:09,511 - INFO - resource_monitor - cpu=37.6% load1=4.55 | mem_used=21869.2MB mem_avail=11082.1MB mem_pct=66.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.2MB net_recv=60.2MB | proc_rss=19674.3MB proc_vms=91689.6MB | proc_cpu=1082.9%
2025-08-18 12:04:11,518 - INFO - resource_monitor - cpu=50.3% load1=4.55 | mem_used=21866.3MB mem_avail=11085.0MB mem_pct=66.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.2MB net_recv=60.2MB | proc_rss=19674.5MB proc_vms=91706.9MB | proc_cpu=1510.5%
2025-08-18 12:04:13,522 - INFO - resource_monitor - cpu=25.1% load1=5.39 | mem_used=21851.7MB mem_avail=11100.1MB mem_pct=66.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.2MB net_recv=60.3MB | proc_rss=19665.0MB proc_vms=91705.5MB | proc_cpu=741.4%
2025-08-18 12:04:15,528 - INFO - resource_monitor - cpu=42.7% load1=5.39 | mem_used=22072.7MB mem_avail=10878.6MB mem_pct=67.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.5MB net_recv=60.5MB | proc_rss=19876.9MB proc_vms=91948.8MB | proc_cpu=1289.4%
2025-08-18 12:04:17,534 - INFO - resource_monitor - cpu=51.3% load1=6.32 | mem_used=22075.3MB mem_avail=10876.0MB mem_pct=67.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.5MB net_recv=60.5MB | proc_rss=19877.1MB proc_vms=91967.4MB | proc_cpu=1509.2%
2025-08-18 12:04:19,542 - INFO - resource_monitor - cpu=18.5% load1=6.32 | mem_used=22192.9MB mem_avail=10758.4MB mem_pct=67.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.7MB net_recv=60.8MB | proc_rss=19997.8MB proc_vms=92099.3MB | proc_cpu=545.9%
2025-08-18 12:04:21,547 - INFO - resource_monitor - cpu=50.8% load1=6.32 | mem_used=22194.8MB mem_avail=10756.5MB mem_pct=67.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.7MB net_recv=60.8MB | proc_rss=19997.8MB proc_vms=92099.3MB | proc_cpu=1549.3%
2025-08-18 12:04:23,551 - INFO - resource_monitor - cpu=43.3% load1=6.93 | mem_used=22198.1MB mem_avail=10753.2MB mem_pct=67.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=53.8MB net_recv=60.8MB | proc_rss=19997.8MB proc_vms=92099.3MB | proc_cpu=1347.2%
2025-08-18 12:04:25,557 - INFO - resource_monitor - cpu=25.6% load1=6.93 | mem_used=22272.9MB mem_avail=10678.8MB mem_pct=68.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.0MB net_recv=61.0MB | proc_rss=20073.2MB proc_vms=92181.9MB | proc_cpu=743.5%
2025-08-18 12:04:27,562 - INFO - resource_monitor - cpu=50.3% load1=7.74 | mem_used=22271.7MB mem_avail=10680.0MB mem_pct=68.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.0MB net_recv=61.0MB | proc_rss=20073.5MB proc_vms=92198.7MB | proc_cpu=1519.2%
2025-08-18 12:04:29,565 - INFO - resource_monitor - cpu=29.5% load1=7.74 | mem_used=22263.0MB mem_avail=10687.7MB mem_pct=68.0% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.0MB net_recv=61.0MB | proc_rss=20065.0MB proc_vms=92197.1MB | proc_cpu=917.4%
2025-08-18 12:04:31,571 - INFO - resource_monitor - cpu=40.9% load1=7.74 | mem_used=22327.3MB mem_avail=10623.3MB mem_pct=68.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.3MB net_recv=61.3MB | proc_rss=20127.2MB proc_vms=92259.2MB | proc_cpu=1242.7%
2025-08-18 12:04:33,578 - INFO - resource_monitor - cpu=47.5% load1=8.72 | mem_used=22326.5MB mem_avail=10624.1MB mem_pct=68.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.3MB net_recv=61.3MB | proc_rss=20127.2MB proc_vms=92259.2MB | proc_cpu=1475.1%
2025-08-18 12:04:35,583 - INFO - resource_monitor - cpu=20.8% load1=8.72 | mem_used=22323.4MB mem_avail=10627.1MB mem_pct=68.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.5MB net_recv=61.5MB | proc_rss=20126.7MB proc_vms=92271.0MB | proc_cpu=616.6%
2025-08-18 12:04:37,586 - INFO - resource_monitor - cpu=33.3% load1=9.31 | mem_used=22362.4MB mem_avail=10588.2MB mem_pct=68.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.7MB net_recv=61.7MB | proc_rss=20162.6MB proc_vms=92331.4MB | proc_cpu=959.9%
2025-08-18 12:04:39,590 - INFO - resource_monitor - cpu=40.8% load1=9.31 | mem_used=22435.7MB mem_avail=10514.9MB mem_pct=68.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.7MB net_recv=61.7MB | proc_rss=20249.1MB proc_vms=92459.8MB | proc_cpu=1235.0%
2025-08-18 12:05:06,627 - INFO - resource_monitor - cpu=0.0% load1=6.60 | mem_used=3542.7MB mem_avail=29410.9MB mem_pct=12.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1243.0MB proc_vms=68747.6MB | proc_cpu=0.0% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:08,632 - INFO - resource_monitor - cpu=1.2% load1=6.23 | mem_used=3543.4MB mem_avail=29410.2MB mem_pct=12.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1244.0MB proc_vms=68747.6MB | proc_cpu=1.0% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:10,636 - INFO - resource_monitor - cpu=2.8% load1=6.23 | mem_used=3630.0MB mem_avail=29323.5MB mem_pct=12.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1323.4MB proc_vms=69965.3MB | proc_cpu=40.4% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:12,642 - INFO - resource_monitor - cpu=1.1% load1=5.97 | mem_used=3630.5MB mem_avail=29323.1MB mem_pct=12.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1325.0MB proc_vms=69967.2MB | proc_cpu=1.5% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:14,655 - INFO - resource_monitor - cpu=1.1% load1=5.97 | mem_used=3661.8MB mem_avail=29291.8MB mem_pct=12.4% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1357.8MB proc_vms=69998.3MB | proc_cpu=3.5% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:16,660 - INFO - resource_monitor - cpu=1.6% load1=5.57 | mem_used=3676.7MB mem_avail=29276.9MB mem_pct=12.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1381.9MB proc_vms=70021.5MB | proc_cpu=5.5% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:18,670 - INFO - resource_monitor - cpu=10.4% load1=5.57 | mem_used=3909.7MB mem_avail=29042.9MB mem_pct=13.2% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=2115.3MB proc_vms=71342.2MB | proc_cpu=284.4% | gpu0: mem_used=804.9MB/ 17171.5MB, util=0%
2025-08-18 12:05:20,676 - INFO - resource_monitor - cpu=14.1% load1=5.57 | mem_used=3938.9MB mem_avail=29014.7MB mem_pct=13.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=63.8MB | proc_rss=1643.5MB proc_vms=70282.3MB | proc_cpu=406.4% | gpu0: mem_used=1253.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:22,684 - INFO - resource_monitor - cpu=9.1% load1=5.20 | mem_used=5136.3MB mem_avail=27816.9MB mem_pct=16.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=64.0MB | proc_rss=2872.0MB proc_vms=71778.6MB | proc_cpu=249.5% | gpu0: mem_used=1253.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:24,689 - INFO - resource_monitor - cpu=50.8% load1=5.20 | mem_used=5171.1MB mem_avail=27782.6MB mem_pct=16.9% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=64.0MB | proc_rss=2894.2MB proc_vms=71814.0MB | proc_cpu=1538.7% | gpu0: mem_used=1253.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:26,694 - INFO - resource_monitor - cpu=28.8% load1=5.03 | mem_used=5520.3MB mem_avail=27429.4MB mem_pct=18.0% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=54.9MB net_recv=64.0MB | proc_rss=3307.0MB proc_vms=72780.6MB | proc_cpu=871.8% | gpu0: mem_used=1937.3MB/ 17171.5MB, util=93%
2025-08-18 12:05:28,699 - INFO - resource_monitor - cpu=23.6% load1=5.03 | mem_used=13370.5MB mem_avail=19578.5MB mem_pct=41.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.2MB net_recv=64.2MB | proc_rss=11199.4MB proc_vms=83193.8MB | proc_cpu=700.3% | gpu0: mem_used=1987.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:30,704 - INFO - resource_monitor - cpu=51.4% load1=5.03 | mem_used=26851.9MB mem_avail=6097.4MB mem_pct=81.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.2MB net_recv=64.2MB | proc_rss=24648.2MB proc_vms=96771.2MB | proc_cpu=1597.7% | gpu0: mem_used=1987.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:33,004 - INFO - resource_monitor - cpu=51.4% load1=5.99 | mem_used=32823.3MB mem_avail=134.9MB mem_pct=99.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.2MB net_recv=64.2MB | proc_rss=30548.6MB proc_vms=103596.0MB | proc_cpu=1436.7% | gpu0: mem_used=1987.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:35,121 - INFO - resource_monitor - cpu=28.4% load1=5.99 | mem_used=32823.2MB mem_avail=131.6MB mem_pct=99.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.2MB net_recv=64.2MB | proc_rss=30457.3MB proc_vms=105113.4MB | proc_cpu=708.3% | gpu0: mem_used=1987.7MB/ 17171.5MB, util=0%
2025-08-18 12:05:37,132 - INFO - resource_monitor - cpu=49.8% load1=7.27 | mem_used=32724.0MB mem_avail=227.9MB mem_pct=99.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.2MB net_recv=64.2MB | proc_rss=30296.4MB proc_vms=107770.7MB | proc_cpu=1269.7% | gpu0: mem_used=1987.7MB/ 17171.5MB, util=0%
2025-08-18 12:19:51,076 - INFO - resource_monitor - cpu=0.0% load1=1.17 | mem_used=3060.9MB mem_avail=29898.4MB mem_pct=10.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.9MB net_recv=65.0MB | proc_rss=1237.0MB proc_vms=68747.6MB | proc_cpu=0.0% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:19:53,080 - INFO - resource_monitor - cpu=0.9% load1=1.15 | mem_used=3058.4MB mem_avail=29901.4MB mem_pct=10.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=55.9MB net_recv=65.0MB | proc_rss=1237.8MB proc_vms=68748.7MB | proc_cpu=1.0% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:19:55,084 - INFO - resource_monitor - cpu=1.9% load1=1.15 | mem_used=3135.3MB mem_avail=29823.6MB mem_pct=10.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.0MB net_recv=65.0MB | proc_rss=1315.9MB proc_vms=69963.7MB | proc_cpu=41.4% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:19:57,089 - INFO - resource_monitor - cpu=1.1% load1=1.15 | mem_used=3137.8MB mem_avail=29821.2MB mem_pct=10.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.0MB net_recv=65.0MB | proc_rss=1319.3MB proc_vms=69967.0MB | proc_cpu=2.0% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:19:59,094 - INFO - resource_monitor - cpu=1.5% load1=1.06 | mem_used=3194.3MB mem_avail=29766.0MB mem_pct=11.0% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.0MB net_recv=65.0MB | proc_rss=1376.0MB proc_vms=70021.5MB | proc_cpu=9.5% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:20:01,098 - INFO - resource_monitor - cpu=11.5% load1=1.06 | mem_used=3455.8MB mem_avail=29504.1MB mem_pct=11.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.0MB net_recv=65.0MB | proc_rss=2165.3MB proc_vms=71439.1MB | proc_cpu=310.8% | gpu0: mem_used=762.6MB/ 17171.5MB, util=0%
2025-08-18 12:20:03,105 - INFO - resource_monitor - cpu=13.1% load1=2.34 | mem_used=3565.1MB mem_avail=29395.1MB mem_pct=12.1% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.0MB net_recv=65.0MB | proc_rss=1742.9MB proc_vms=70531.2MB | proc_cpu=359.8% | gpu0: mem_used=1211.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:05,110 - INFO - resource_monitor - cpu=4.5% load1=2.34 | mem_used=3672.1MB mem_avail=29288.0MB mem_pct=12.4% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.3MB net_recv=65.3MB | proc_rss=1873.7MB proc_vms=70901.0MB | proc_cpu=98.3% | gpu0: mem_used=1211.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:07,115 - INFO - resource_monitor - cpu=9.8% load1=2.34 | mem_used=4369.8MB mem_avail=28586.1MB mem_pct=14.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.3MB net_recv=65.3MB | proc_rss=2680.0MB proc_vms=74445.6MB | proc_cpu=261.7% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=17%
2025-08-18 12:20:09,122 - INFO - resource_monitor - cpu=9.5% load1=2.23 | mem_used=4405.5MB mem_avail=28550.3MB mem_pct=14.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=56.9MB net_recv=66.0MB | proc_rss=2704.2MB proc_vms=74467.6MB | proc_cpu=236.5% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:11,128 - INFO - resource_monitor - cpu=16.1% load1=2.23 | mem_used=6286.5MB mem_avail=26669.3MB mem_pct=20.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=57.3MB net_recv=66.3MB | proc_rss=4573.8MB proc_vms=76382.5MB | proc_cpu=437.0% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:13,133 - INFO - resource_monitor - cpu=12.4% load1=2.05 | mem_used=6302.4MB mem_avail=26652.9MB mem_pct=20.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=57.6MB net_recv=66.7MB | proc_rss=4600.5MB proc_vms=76486.7MB | proc_cpu=317.5% | gpu0: mem_used=1471.5MB/ 17171.5MB, util=22%
2025-08-18 12:20:15,138 - INFO - resource_monitor - cpu=10.2% load1=2.05 | mem_used=6313.9MB mem_avail=26641.5MB mem_pct=20.3% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=57.9MB net_recv=67.0MB | proc_rss=4624.7MB proc_vms=76556.1MB | proc_cpu=270.4% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=7%
